"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2017","1,274.20","1,269.70","1,275.80","1,269.40","2.93K","0.43%"
"12/19/2017","1,268.80","1,269.50","1,272.50","1,266.90","3.43K","-0.09%"
"12/18/2017","1,270.00","1,261.40","1,271.40","1,260.50","2.17K","0.63%"
"12/15/2017","1,262.00","1,260.80","1,269.00","1,260.60","4.98K","0.03%"
"12/14/2017","1,261.60","1,262.00","1,266.00","1,257.40","5.68K","0.68%"
"12/13/2017","1,253.10","1,250.60","1,263.80","1,246.70","4.80K","0.56%"
"12/12/2017","1,246.10","1,248.00","1,251.60","1,242.70","4.71K","-0.42%"
"12/11/2017","1,251.30","1,255.00","1,257.40","1,247.20","2.24K","-0.12%"
"12/08/2017","1,252.80","1,253.80","1,258.40","1,248.80","3.63K","-0.37%"
"12/07/2017","1,257.50","1,269.80","1,271.00","1,250.40","4.50K","-1.02%"
"12/06/2017","1,270.50","1,272.70","1,275.70","1,269.40","1.80K","0.09%"
"12/05/2017","1,269.30","1,283.60","1,284.00","1,267.80","3.10K","-1.00%"
"12/04/2017","1,282.10","1,282.60","1,284.60","1,277.80","1.47K","-0.36%"
"12/01/2017","1,286.70","1,281.70","1,296.60","1,278.60","3.21K","0.44%"
"11/30/2017","1,281.10","1,291.40","1,292.10","1,277.50","4.92K","-0.74%"
"11/29/2017","1,290.60","1,302.00","1,304.50","1,289.60","4.78K","-0.66%"
"11/28/2017","1,299.20","1,298.80","1,301.30","1,294.50","230.27K","0.02%"
"11/27/2017","1,298.90","1,292.00","1,303.40","1,290.70","144.65K","0.55%"
"11/24/2017","1,291.80","1,296.10","1,297.60","1,289.50","83.55K","0.35%"
"11/23/2017","1,287.30","1,291.90","1,293.30","1,285.10","347.03K","-0.73%"
"11/22/2017","1,296.80","1,284.80","1,299.00","1,283.10","103.58K","0.82%"
"11/21/2017","1,286.20","1,281.00","1,288.70","1,280.20","60.04K","0.51%"
"11/20/2017","1,279.70","1,300.00","1,300.00","1,278.50","39.00K","-1.63%"
"11/17/2017","1,300.90","1,282.70","1,301.70","1,282.60","35.51K","1.43%"
"11/16/2017","1,282.60","1,282.80","1,286.10","1,279.40","17.92K","0.04%"
"11/15/2017","1,282.10","1,285.00","1,294.30","1,281.00","28.69K","-0.40%"
"11/14/2017","1,287.30","1,282.90","1,288.10","1,274.40","23.06K","0.31%"
"11/13/2017","1,283.30","1,279.20","1,284.20","1,278.90","22.81K","0.38%"
"11/10/2017","1,278.50","1,291.10","1,291.60","1,278.00","36.01K","-1.03%"
"11/09/2017","1,291.80","1,286.40","1,293.80","1,284.80","27.34K","0.30%"
"11/08/2017","1,288.00","1,281.40","1,292.20","1,281.00","23.18K","0.62%"
"11/07/2017","1,280.10","1,286.70","1,287.00","1,276.80","19.79K","-0.45%"
"11/06/2017","1,285.90","1,274.70","1,288.10","1,270.90","17.78K","0.98%"
"11/03/2017","1,273.40","1,282.30","1,285.00","1,270.10","12.75K","-0.70%"
"11/02/2017","1,282.40","1,279.70","1,289.20","1,278.30","9.99K","0.06%"
"11/01/2017","1,281.60","1,275.70","1,286.00","1,273.30","11.11K","0.54%"
"10/31/2017","1,274.70","1,281.30","1,282.40","1,272.80","16.93K","-0.56%"
"10/30/2017","1,281.90","1,278.10","1,283.90","1,274.00","7.20K","0.46%"
"10/27/2017","1,276.00","1,272.20","1,279.00","1,268.10","4.06K","0.17%"
"10/26/2017","1,273.80","1,283.80","1,287.80","1,270.90","11.67K","-0.73%"
"10/25/2017","1,283.20","1,282.40","1,285.20","1,276.10","4.48K","0.05%"
"10/24/2017","1,282.50","1,286.90","1,289.00","1,279.00","2.99K","-0.20%"
"10/23/2017","1,285.10","1,283.40","1,288.30","1,277.70","3.15K","0.04%"
"10/20/2017","1,284.60","1,296.20","1,296.50","1,283.70","11.08K","-0.74%"
"10/19/2017","1,294.20","1,287.00","1,295.90","1,282.00","22.76K","0.54%"
"10/18/2017","1,287.20","1,291.00","1,294.30","1,282.90","3.24K","-0.25%"
"10/17/2017","1,290.40","1,301.60","1,302.40","1,287.70","7.30K","-1.29%"
"10/16/2017","1,307.30","1,310.30","1,312.70","1,296.90","1.96K","-0.12%"
"10/13/2017","1,308.90","1,300.20","1,310.20","1,297.50","2.65K","0.62%"
"10/12/2017","1,300.80","1,298.60","1,303.50","1,296.40","6.41K","0.60%"
"10/11/2017","1,293.10","1,294.40","1,300.00","1,291.60","2.44K","-0.38%"
"10/10/2017","1,298.00","1,290.50","1,300.80","1,289.80","14.67K","0.69%"
"10/09/2017","1,289.10","1,283.30","1,291.90","1,282.00","3.10K","0.79%"
"10/06/2017","1,279.00","1,275.40","1,283.00","1,267.00","5.14K","0.13%"
"10/05/2017","1,277.30","1,282.00","1,285.50","1,273.40","1.83K","-0.28%"
"10/04/2017","1,280.90","1,278.30","1,288.70","1,277.20","1.81K","0.17%"
"10/03/2017","1,278.70","1,277.30","1,281.10","1,275.20","1.56K","-0.09%"
"10/02/2017","1,279.90","1,286.60","1,286.60","1,276.30","2.19K","-0.70%"
